CustomerID,Frequency,Monetary,Recency,Cluster,ClusterLabel
12346.0,1,77183.6,326,1,Occasional
12347.0,182,4310.0,2,0,Loyal
12348.0,31,1797.24,75,0,Loyal
12349.0,73,1757.55,19,0,Loyal
12350.0,17,334.4,310,1,Occasional
12352.0,85,2506.04,36,0,Loyal
12353.0,4,89.0,204,1,Occasional
12354.0,58,1079.4,232,1,Occasional
12355.0,13,459.4,214,1,Occasional
12356.0,59,2811.43,23,0,Loyal
12357.0,131,6207.67,33,0,Loyal
12358.0,19,1168.06,2,0,Loyal
12359.0,248,6372.58,58,0,Loyal
12360.0,129,2662.06,52,0,Loyal
12361.0,10,189.9,287,1,Occasional
12362.0,266,5226.23,3,0,Loyal
12363.0,23,552.0,110,0,Loyal
12364.0,85,1313.1,8,0,Loyal
12365.0,22,641.38,291,1,Occasional
12367.0,11,168.9,4,0,Loyal
12370.0,167,3545.69,51,0,Loyal
12371.0,63,1887.96,45,0,Loyal
12372.0,52,1298.04,72,0,Loyal
12373.0,14,364.6,311,1,Occasional
12374.0,33,742.9300000000001,25,0,Loyal
12375.0,17,457.5,11,0,Loyal
12377.0,77,1628.12,315,1,Occasional
12378.0,219,4008.62,130,0,Loyal
12379.0,40,852.24,82,0,Loyal
12380.0,104,2724.81,22,0,Loyal
12381.0,87,1845.31,5,0,Loyal
12383.0,99,1850.56,185,1,Occasional
12384.0,27,585.27,29,0,Loyal
12386.0,10,401.9,338,1,Occasional
12388.0,100,2780.66,16,0,Loyal
12390.0,32,549.84,80,0,Loyal
12391.0,100,460.89,22,0,Loyal
12393.0,64,1582.6000000000001,72,0,Loyal
12394.0,27,1272.48,64,0,Loyal
12395.0,156,3018.63,19,0,Loyal
12397.0,126,2409.9,36,0,Loyal
12398.0,85,1635.6599999999999,46,0,Loyal
12399.0,59,1108.65,119,0,Loyal
12401.0,5,84.3,303,1,Occasional
12402.0,11,225.6,323,1,Occasional
12403.0,5,427.7,50,0,Loyal
12405.0,54,1710.39,149,1,Occasional
12406.0,105,3415.3,22,0,Loyal
12407.0,77,1708.1200000000001,50,0,Loyal
12408.0,105,2888.55,33,0,Loyal
12409.0,109,11072.67,79,0,Loyal
12410.0,26,693.3299999999999,309,1,Occasional
12412.0,61,1226.88,75,0,Loyal
12413.0,38,758.1,67,0,Loyal
12414.0,18,562.41,217,1,Occasional
12415.0,716,124914.53,24,2,Big Spenders
12417.0,192,3649.1,3,0,Loyal
12418.0,34,668.58,113,0,Loyal
12420.0,29,600.39,64,0,Loyal
12421.0,45,807.04,16,0,Loyal
12422.0,39,803.5600000000001,96,0,Loyal
12423.0,125,1859.31,1,0,Loyal
12424.0,30,1760.96,163,1,Occasional
12425.0,36,777.2,78,0,Loyal
12426.0,30,582.73,195,1,Occasional
12427.0,31,825.8,22,0,Loyal
12428.0,294,7956.46,26,0,Loyal
12429.0,97,3750.4,9,0,Loyal
12430.0,11,256.4,43,0,Loyal
12431.0,236,6487.45,36,0,Loyal
12432.0,108,5059.32,43,0,Loyal
12433.0,420,13375.87,1,0,Loyal
12434.0,50,806.14,85,0,Loyal
12435.0,36,7829.89,80,0,Loyal
12436.0,16,509.01,100,0,Loyal
12437.0,200,4951.41,2,0,Loyal
12438.0,98,2906.85,14,0,Loyal
12441.0,11,173.55,367,1,Occasional
12442.0,12,172.06,3,0,Loyal
12444.0,177,5005.46,21,0,Loyal
12445.0,4,133.4,22,0,Loyal
12446.0,58,1002.3100000000001,58,0,Loyal
12447.0,26,476.49,243,1,Occasional
12448.0,22,449.45,44,0,Loyal
12449.0,191,4067.29,22,0,Loyal
12450.0,8,197.88,156,1,Occasional
12451.0,354,9035.52,11,0,Loyal
12452.0,22,430.57,17,0,Loyal
12453.0,43,707.09,134,0,Loyal
12454.0,15,3528.34,56,0,Loyal
12455.0,90,2466.86,73,0,Loyal
12456.0,125,3181.04,44,0,Loyal
12457.0,63,2363.23,66,0,Loyal
12458.0,38,947.4,71,0,Loyal
12461.0,35,826.88,94,0,Loyal
12462.0,62,1189.59,19,0,Loyal
12463.0,83,1344.78,53,0,Loyal
12464.0,29,1212.05,10,0,Loyal
12465.0,47,742.1899999999999,17,0,Loyal
12468.0,38,729.5400000000001,188,1,Occasional
12471.0,460,19824.05,2,0,Loyal
12472.0,339,6572.11,32,0,Loyal
12473.0,168,3938.5499999999997,29,0,Loyal
12474.0,424,7375.79,17,0,Loyal
12475.0,36,723.38,54,0,Loyal
12476.0,233,6816.42,16,0,Loyal
12477.0,300,13219.74,23,0,Loyal
12478.0,36,680.99,4,0,Loyal
12479.0,31,527.2,11,0,Loyal
12480.0,154,3281.63,28,0,Loyal
12481.0,217,5596.32,23,0,Loyal
12483.0,75,2484.98,17,0,Loyal
12484.0,346,4541.72,33,0,Loyal
12488.0,55,1298.66,10,0,Loyal
12489.0,15,334.93,336,1,Occasional
12490.0,245,5417.93,5,0,Loyal
12491.0,26,460.40000000000003,39,0,Loyal
12492.0,20,263.21000000000004,63,0,Loyal
12493.0,22,433.74,166,1,Occasional
12494.0,77,1246.1000000000001,16,0,Loyal
12497.0,14,1043.1,82,0,Loyal
12498.0,23,403.70000000000005,21,0,Loyal
12500.0,61,4257.82,23,0,Loyal
12501.0,149,2169.39,337,1,Occasional
12502.0,147,3723.87,96,0,Loyal
12504.0,9,482.04999999999995,18,0,Loyal
12506.0,23,73.5,233,1,Occasional
12507.0,22,1304.81,134,0,Loyal
12508.0,69,398.27,26,0,Loyal
12509.0,7,176.5,284,1,Occasional
12510.0,33,982.5699999999999,143,1,Occasional
12512.0,34,138.03,66,0,Loyal
12513.0,35,612.29,113,0,Loyal
12514.0,51,1017.68,267,1,Occasional
12515.0,16,383.7,353,1,Occasional
12516.0,26,1312.06,78,0,Loyal
12517.0,284,2502.84,28,0,Loyal
12518.0,124,2056.89,1,0,Loyal
12519.0,18,340.84,64,0,Loyal
12520.0,152,2634.26,79,0,Loyal
